Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,Founded,category
BiteSpeed,E-commerce,Early Stage,275000.0,Gurgaon,2020,2019.0,E-Commerce & Marketplace
WakeFit,Retail,Series A to Series H,20000000.0,Bangalore,2020,2016.0,Other
Sreyas Holistic Remedies,Medtech,unknown,1000000.0,Hyderabad,2020,2008.0,Technology
Fleeca India,Tyre management,unknown,111909478.7413793,Jaipur,2020,2016.0,Other
M1xchange,FinTech,unknown,4500000.0,Gurgaon,2020,2017.0,Technology
Exotel,Cloud company,unknown,5000000.0,Bangalore,2020,2011.0,Other
PagarBook,Software company,Series A to Series H,15000000.0,Bangalore,2020,2019.0,Technology
PointOne Capital,Venture capitalist,unknown,111909478.7413793,Bangalore,2020,2020.0,Other
Ayana,Renewable player,unknown,390000000.0,Bangalore,2020,2017.0,Other
Fisdom,FinTech,unknown,7000000.0,Bangalore,2020,2015.0,Technology
Tinker Coders,EdTech,Early Stage,111909478.7413793,Noida,2020,2020.0,Technology
Infinite Uptime,IoT startup,Series A to Series H,5100000.0,Pune,2020,2015.0,Other
HappyLocate,SaaS startup,Early Stage,500000.0,Bangalore,2020,2016.0,Other
PhonePe,FinTech,unknown,700000000.0,New Delhi,2020,2015.0,Technology
Loop Health,HealthTech,Early Stage,2300000.0,Pune,2020,2017.0,Technology
NeoDocs,HealthTech,Early Stage,111909478.7413793,Mumbai,2020,2020.0,Technology
The ePlane,Aero company,Early Stage,111909478.7413793,Chennai,2020,2016.0,Other
TagMango,Marketing company,Early Stage,700000.0,Mumbai,2020,2019.0,E-Commerce & Marketplace
The New Shop,Retail startup,Early Stage,500000.0,New Delhi,2020,2019.0,Other
MobiKwik,FinTech,unknown,7000000.0,Gurgaon,2020,2009.0,Technology
DebugsBunny,EdTech,unknown,100000.0,Pune,2020,2020.0,Technology
BHIVE Investech,Co-working Startup,Early Stage,1000000.0,Bangalore,2020,2014.0,Other
Rivigo,Logistics,unknown,19000000.0,Gurgaon,2020,2014.0,Autommotive $ Transportation
ZipLoan,Finance company,unknown,3000000.0,New Delhi,2020,2015.0,Finance $ Banking
Swipez,FinTech,unknown,111909478.7413793,Pune,2020,2014.0,Technology
Humus,AgriTech,unknown,111909478.7413793,Bangalore,2020,2019.0,Technology
Artivatic.ai,Tech company,unknown,111909478.7413793,Bangalore,2020,2017.0,Technology
Prescinto,Solar Monitoring Company,Early Stage,111909478.7413793,Ahmedabad,2020,2016.0,Other
Toppeq,SaaS startup,Early Stage,111909478.7413793,Mumbai,2020,2019.0,Other
Bolo Indya,Video sharing platform,unknown,400000.0,Gurgaon,2020,2019.0,Other
Bombay Play,Gaming startup,Early Stage,1000000.0,Bangalore,2020,2017.0,Other
FreshToHome,E-commerce,unknown,111909478.7413793,Bangalore,2020,2015.0,E-Commerce & Marketplace
KIKO TV,Video streaming platform,Early Stage,111909478.7413793,Mumbai,2020,2020.0,Other
Atomberg Technologies,Consumer appliances,Series A to Series H,9000000.0,Mumbai,2020,2012.0,Other
DealShare,E-commerce,Series A to Series H,21000000.0,Jaipur,2020,2018.0,E-Commerce & Marketplace
Smallcase,FinTech,unknown,111909478.7413793,Bangalore,2020,2015.0,Technology
CueMath,EdTech,Series A to Series H,40000000.0,Bangalore,2020,2011.0,Technology
Gamerji,Gaming startup,Early Stage,111909478.7413793,Ahmedabad,2020,2018.0,Other
5C Network,HealthTech,Early Stage,1200000.0,Bangalore,2020,2014.0,Technology
Ethereum Push Notification Service,Blockchain startup,Early Stage,750000.0,Mumbai,2020,2020.0,Other
Mihup,Conversational AI platform,Series A to Series H,1500000.0,Kolkata,2020,2016.0,Other
RuralBasket,E-commerce,unknown,500000.0,Tirunelveli,2020,2019.0,E-Commerce & Marketplace
WayCool Foods,AgriTech,Later Stage,7800000.0,Chennai,2020,2015.0,Technology
Infra.Market,Real Estate,Series A to Series H,20000000.0,Thane,2020,2016.0,Real Estate $ Property
Info Edge Venture,Venture capitalist,unknown,50000000.0,Noida,2020,1995.0,Other
Clovia,E-commerce,Early Stage,4000000.0,Noida,2020,2013.0,E-Commerce & Marketplace
Codingal,EdTech,Early Stage,560000.0,Bangalore,2020,2020.0,Technology
CRED,Finance company,Series A to Series H,80000000.0,Bangalore,2020,2018.0,Finance $ Banking
Vistaar Finance,Finance company,unknown,30000000.0,Bangalore,2020,2010.0,Finance $ Banking
Let's Dive,SaaS platform,unknown,1700000.0,Bangalore,2020,2020.0,Other
Habitat,EdTech,Early Stage,600000.0,unknown,2020,2016.0,Technology
SAWO Labs,SaaS platform,Early Stage,600000.0,Mumbai,2020,2020.0,Other
Signzy,AI platform,unknown,3000000.0,Bangalore,2020,2015.0,Other
KopyKitab,EdTech,unknown,111909478.7413793,Bangalore,2020,2013.0,Technology
Kyt,EdTech,unknown,2500000.0,Singapore,2020,2020.0,Technology
Raskik,Fusion beverages,Early Stage,1000000.0,unknown,2020,2019.0,Food & Agriculture
GetWork,HR Tech,Early Stage,40000.0,Gurugram,2020,2019.0,Technology
Mobile Premier League (MPL),Gaming,Series A to Series H,500000.0,Bangalore,2020,2018.0,Other
Pravasirojgar,Job portal,unknown,33000000.0,unknown,2020,2020.0,Other
Omatra Hotels,Hospitality,Early Stage,111909478.7413793,Kolkata,2020,2017.0,Other
Awign,Job portal,Early Stage,111909478.7413793,Bangalore,2020,2016.0,Other
NewsReach,Digital Media,Early Stage,1500000.0,Gujarat,2020,2018.0,Other
Cashfree,FinTech,Series A to Series H,35000000.0,Bangalore,2020,2015.0,Technology
Credgenics,FinTech,Early Stage,3000000.0,New Delhi,2020,2018.0,Technology
GeoIQ,AI startup,Early Stage,300000.0,Bangalore,2020,2018.0,Other
Country Delight,Dairy startup,Series A to Series H,25000000.0,Haryana,2020,2015.0,Other
Quintype,Content management,Series A to Series H,3500000.0,Bangalore,2020,2014.0,Other
CARS24,Retail,Series A to Series H,200000000.0,Haryana,2020,2015.0,Other
Astrogate Labs,Spacetech,unknown,111909478.7413793,Bangalore,2020,2017.0,Technology
Power Gummies,HealthTech,Later Stage,111909478.7413793,New Delhi,2020,2018.0,Technology
Cityflo,Transportation,Series A to Series H,7000000.0,Mumbai,2020,2015.0,Autommotive $ Transportation
AlgoBulls,Trading platform,unknown,200000.0,Mumbai,2020,2019.0,Other
Credgenics,FinTech,Early Stage,3000000.0,Gurugram,2020,2018.0,Technology
Inntot,Tech company,unknown,111909478.7413793,Kerala,2020,2014.0,Technology
Ensuredit,FinTech,Early Stage,300000.0,Gurugram,2020,2019.0,Technology
Shipsy,AI Company,Series A to Series H,6000000.0,Gurugram,2020,2015.0,Other
ERPNext,Tech company,unknown,1000000.0,Mumbai,2020,2008.0,Technology
LightSpeedAI,Photonics startup,unknown,111909478.7413793,Bangalore,2020,2019.0,Other
Grip Invest,FinTech,Early Stage,111909478.7413793,Gurugram,2020,2020.0,Technology
Unacademy,EdTech,unknown,111909478.7413793,Bangalore,2020,2015.0,Technology
Yellow Classes,EdTech,Early Stage,1300000.0,Gurugram,2020,2020.0,Technology
Plum,HealthTech,unknown,4100000.0,Bangalore,2020,2019.0,Technology
STAGE,Entertainment,unknown,1000000.0,Indore,2020,2019.0,Other
Nykaa,Cosmetics,unknown,111909478.7413793,Mumbai,2020,2012.0,Other
Kaagaz Scanner,Scanning app,unknown,575000.0,unknown,2020,2020.0,Other
NIRA,FinTech,unknown,1000000.0,Bangalore,2020,2017.0,Technology
Prolixr,Skincare startup,Early Stage,111909478.7413793,Gurugram,2020,2018.0,Other
Byju's,EdTech,unknown,200000000.0,Bangalore,2020,2011.0,Technology
DaMENSCH,E-commerce,unknown,6000000.0,Bangalore,2020,2018.0,E-Commerce & Marketplace
Country Delight,Food and Beverages,Series A to Series H,25000000.0,Haryana,2020,2015.0,Food & Agriculture
SignalX,AI startup,Early Stage,800000.0,Hyderabad,2020,2018.0,Other
Lancify,EdTech,unknown,300000.0,Bangalore,2020,2018.0,Technology
Krimanshi,Biotechnology company,Early Stage,600000.0,Jodhpur,2020,2015.0,Technology
Instoried,AI startup,Early Stage,1000000.0,Bangalore,2020,2018.0,Other
PlayerzPot,Gaming startup,Series A to Series H,3000000.0,Mumbai,2020,2015.0,Other
Instamojo,FinTech,unknown,111909478.7413793,Bangalore,2020,2012.0,Technology
Turtlemint,HealthTech,unknown,30000000.0,Mumbai,2020,2015.0,Technology
Arata,E-commerce,Early Stage,1000000.0,New Delhi,2020,2017.0,E-Commerce & Marketplace
MPL,Gaming startup,unknown,5000000.0,Bangalore,2020,2018.0,Other
True Balance,FinTech,unknown,28000000.0,Gurugram,2020,2014.0,Technology
Thrive,FoodTech,Early Stage,111909478.7413793,Mumbai,2020,2020.0,Technology
Kitchens Centre,Proptech,Early Stage,111909478.7413793,New Delhi,2020,2019.0,Technology
Prescribe,HealthTech,unknown,100000.0,Chennai,2020,2019.0,Technology
Nepra,CleanTech,Series A to Series H,18000000.0,Ahmedabad,2020,2006.0,Technology
inFeedo,SaaS startup,unknown,3200000.0,Gurugram,2020,2013.0,Other
Shilpa Sciences,HealthTech,Early Stage,111909478.7413793,Bangalore,2020,2014.0,Technology
Arzooo,Tech Startup,unknown,111909478.7413793,Bangalore,2020,2016.0,Technology
MindTickle,SaaS platform,Later Stage,100000000.0,Pune,2020,2011.0,Other
Slice,FinTech,Later Stage,5000000.0,Bangalore,2020,2016.0,Technology
Rapawalk,E-commerce,Early Stage,300000.0,Bangalore,2020,2017.0,E-Commerce & Marketplace
Oga Fit's,Fitness startup,Early Stage,111909478.7413793,Bangalore,2020,2017.0,Other
LAVAL,Cosmetics,Early Stage,111909478.7413793,Bangalore,2020,2016.0,Other
Stride Ventures,Venture capitalist,unknown,80000000.0,New Delhi,2020,2019.0,Other
BlackSoil,FinTech,unknown,10000000.0,Mumbai,2020,2016.0,Technology
Biocon,Healthcare,unknown,15000000.0,Bangalore,2020,1978.0,Healthcare
Clientjoy,SaaS startup,Early Stage,800000.0,Gujarat,2020,2013.0,Other
Xpressbees,E-commerce,unknown,100000000.0,Pune,2020,2015.0,E-Commerce & Marketplace
GalaxyCard,FinTech,Early Stage,111909478.7413793,Gurugram,2020,2017.0,Technology
Wellness Forever,HealthTech,unknown,100000000.0,Mumbai,2020,2008.0,Technology
MoooFarm,AgriTech,Early Stage,500000.0,Gurugram,2020,2019.0,Technology
BitClass,PaaS startup,Early Stage,2000000.0,Bangalore,2020,2020.0,Other
Gonuts,Entertainment,Early Stage,400000.0,Mumbai,2020,2020.0,Other
Uolo,EdTech,Early Stage,2000000.0,Bangalore,2020,2013.0,Technology
Kirana King,Retail,Early Stage,900000.0,Jaipur,2020,2014.0,Other
Jade Forest,Beverages,Early Stage,250000.0,Delhi,2020,unknown,Food & Agriculture
iKure,HealthTech,unknown,111909478.7413793,Kolkata,2020,2010.0,Technology
FrontRow,EdTech,Early Stage,3200000.0,Bangalore,2020,unknown,Technology
Reliance Retail,E-commerce,unknown,10000000.0,Mumbai,2020,2006.0,E-Commerce & Marketplace
TUBBR,Social Media,unknown,111909478.7413793,Frisco,2020,2019.0,Other
Ather Energy,Automobiles,Series A to Series H,35000000.0,Bangalore,2020,2013.0,Autommotive $ Transportation
Routematic,SaaS startup,unknown,2000000.0,Bangalore,2020,2007.0,Other
LivFin,FinTech,unknown,4700000.0,New Delhi,2020,2017.0,Technology
Universal Sportsbiz Pvt Ltd,Fashion startup,unknown,111909478.7413793,Bangalore,2020,2012.0,Other
Lattu Kids,EdTech,unknown,111909478.7413793,Mumbai,2020,2017.0,Technology
Eggoz,Food & Bevarages,Early Stage,1500000.0,Indore,2020,2016.0,Food & Agriculture
Steradian Semiconductors,Deeptech,unknown,111909478.7413793,Bangalore,2020,2016.0,Technology
CHARGE+ZONE,EV startup,Early Stage,3000000.0,Gujarat,2020,2018.0,Other
Stones2milestones,EdTech,Later Stage,2000000.0,Gurugram,2020,2008.0,Technology
Udacity,EdTech,Later Stage,75000000.0,California,2020,2011.0,Technology
AjnaLens,AR/VR startup,Later Stage,1000000.0,Thane,2020,2014.0,Other
Gully Network,E-commerce,Early Stage,1200000.0,Bangalore,2020,2019.0,E-Commerce & Marketplace
TurboHire,Recruitment startup,Early Stage,1000000.0,Hyderabad,2020,2018.0,Other
Traya,HealthTech,Early Stage,111909478.7413793,Mumbai,2020,unknown,Technology
Charcoal Eats,QSR startup,unknown,2000000.0,Mumbai,2020,2015.0,Other
Mitron TV,Video platform,unknown,111909478.7413793,Bangalore,2020,2020.0,Other
Svami,Food & Bevarages,unknown,800000.0,Mumbai,2020,2016.0,Food & Agriculture
Dhurnia,EdTech,unknown,100000.0,Dhingsara,2020,2018.0,Technology
Expertrons,EdTech,unknown,111909478.7413793,Mumbai,2020,2019.0,Technology
Leena AI,AI startup,unknown,8000000.0,New York,2020,2015.0,Other
Bizlog,Logistics,unknown,1000000.0,Bangalore,2020,2016.0,Autommotive $ Transportation
Tamasha.live,Gaming,unknown,300000.0,Mumbai,2020,2020.0,Other
Fedo,AI startup,unknown,1000000.0,Bangalore,2020,2017.0,Other
FabHotels,Hospitality,unknown,1000000.0,Gurugram,2020,2015.0,Other
Freshokartz,AgriTech,Early Stage,1000000.0,Jaipur,2020,2016.0,Technology
FlexiLoans,FinTech,Later Stage,6000000.0,Mumbai,2020,2016.0,Technology
Agrix,AgriTech,unknown,111909478.7413793,Patna,2020,2020.0,Technology
BharatAgri,AgriTech,Early Stage,111909478.7413793,Pune,2020,2017.0,Technology
FreshtoHome,E-commerce,Series A to Series H,121000000.0,Bangalore,2020,2015.0,E-Commerce & Marketplace
Credable,FinTech,unknown,4500000.0,Mumbai,2020,2017.0,Technology
Railofy,Transportation,Early Stage,5000000.0,Mumbai,2020,2019.0,Autommotive $ Transportation
Finova Capital,FinTech,unknown,55000000.0,Jaipur,2020,2016.0,Technology
Teachmint,Edtech,Early Stage,3500000.0,Bangalore,2020,2020.0,Technology
Peel-Works,E-commerce,unknown,3000000.0,Mumbai,2020,2010.0,E-Commerce & Marketplace
Janani,Fertility tech,Early Stage,200000.0,Bangalore,2020,2020.0,Technology
Credgenics,FinTech,Early Stage,3300000.0,Gurugram,2020,2018.0,Technology
Finelistings,Luxury car startup,unknown,111909478.7413793,New Delhi,2020,2015.0,Other
Wellversed,Healthcare,Early Stage,111909478.7413793,New Delhi,2020,2018.0,Healthcare
Jumbotail,E-commerce,Series A to Series H,11000000.0,Bangalore,2020,2015.0,E-Commerce & Marketplace
Winzo,Gaming startup,unknown,2000000.0,New Delhi,2020,2018.0,Other
mCaffeine,Cosmetics,Series A to Series H,5000000.0,Mumbai,2020,2015.0,Other
Pocket FM,FM,Series A to Series H,5000000.0,Bangalore,2020,2018.0,Other
Snackible,Healthcare,Later Stage,111909478.7413793,Mumbai,2020,2015.0,Healthcare
FreshtoHome,E-commerce,unknown,16000000.0,Bangalore,2020,2015.0,E-Commerce & Marketplace
Jumbotail,Retail,Series A to Series H,11000000.0,Bangalore,2020,2015.0,Other
Nykaa,E-commerce,unknown,111909478.7413793,Mumbai,2020,2012.0,E-Commerce & Marketplace
TagZ Foods,Food,unknown,111909478.7413793,Bangalore,2020,2019.0,Food & Agriculture
Genius Teacher,Edtech,unknown,2000000.0,Mumbai,2020,2016.0,Technology
Krimanshi Feeds,Nutrition sector,unknown,500000.0,Jodhpur,2020,2015.0,Other
Origo,AgriTech,Later Stage,4000000.0,Gurugram,2020,2010.0,Technology
GetVantage,FinTech,Early Stage,5000000.0,Mumbai,2020,2019.0,Technology
Betterplace,Tech platform,Series A to Series H,10000000.0,Bangalore,2020,2015.0,Technology
Biddano,Healthcare,Early Stage,600000.0,Mumbai,2020,2016.0,Healthcare
InVideo,Video,Series A to Series H,15000000.0,Mumbai,2020,2017.0,Other
Arzooo,Retail Tech,Series A to Series H,7500000.0,Bangalore,2020,2016.0,Technology
Hubilo,Tech company,Early Stage,4500000.0,San Francisco,2020,2020.0,Technology
BASIC Home Loan,FinTech,Early Stage,5000000.0,Gurugram,2020,2020.0,Technology
Ketos,AI startup,unknown,18000000.0,San Francisco,2020,2015.0,Other
SUGAR cosmetics,Cosmetics,Later Stage,2000000.0,Mumbai,2020,2012.0,Other
Signzy,FinTech,unknown,5400000.0,Bangalore,2020,2015.0,Technology
Ahaguru,Edtech,Series A to Series H,111909478.7413793,Chennai,2020,2012.0,Technology
Tekion,AI startup,Series A to Series H,150000000.0,San Ramon,2020,2016.0,Other
Brighteye Ventures,Edtech,unknown,5400000.0,Paris,2020,2017.0,Technology
EzeRx,Medtech,Early Stage,200000.0,Kolkata,2020,2018.0,Technology
VitalTech,HeathTech,Early Stage,3000000.0,Plano,2020,2018.0,Technology
Ultraviolette Automotive,Automobiles,Series A to Series H,4000000.0,Bangalore,2020,2014.0,Autommotive $ Transportation
Tring,Social Media,unknown,111909478.7413793,Mumbai,2020,2019.0,Other
Rare Planet,Retail startup,Early Stage,400000.0,Kolkata,2020,2015.0,Other
GoodGamer,Gaming,Early Stage,2500000.0,Bangalore,2020,2020.0,Other
InnAccel,Medtech,Early Stage,1500000.0,Bangalore,2020,2012.0,Technology
Tiliter,Retail,unknown,7500000.0,Sydney,2020,2017.0,Other
Slintel,Sles and marketing,unknown,4200000.0,San Francisco Bay Area,2020,2016.0,E-Commerce & Marketplace
SoOLEGAL,LegalTech,unknown,4000000.0,New Delhi,2020,2015.0,Technology
HobSpace,Edtech,Early Stage,200000.0,Mumbai,2020,2019.0,Technology
Supplynote,SaaS startup,Early Stage,500000.0,Noida,2020,2015.0,Other
Hire Me Car,Car Service,Early Stage,111909478.7413793,Noida,2020,unknown,Other
ShopUp,E-commerce,Series A to Series H,22000000.0,Bangaldesh,2020,2017.0,E-Commerce & Marketplace
Harmonizer India,Tech Startup,unknown,111909478.7413793,Bangalore,2020,2019.0,Technology
Zomato,FoodTech,unknown,52000000.0,Gurugram,2020,2008.0,Technology
Dukaan,Tech Startup,Early Stage,6000000.0,Mumbai,2020,2020.0,Technology
CredR,Bike marketplace,unknown,2000000.0,Mumbai,2020,2014.0,E-Commerce & Marketplace
Satyukt,Agri tech,Early Stage,500000.0,Bangalore,2020,2018.0,Technology
RACEnergy,Automobiles,unknown,111909478.7413793,Hyderabad,2020,2018.0,Autommotive $ Transportation
TREAD,Fitness startup,Early Stage,1100000.0,Bangalore,2020,2020.0,Other
Anveshan,FoodTech,Early Stage,100000.0,Bangalore,2020,2019.0,Technology
TeaMonk,Food & Bevarages,Early Stage,900000.0,Bangalore,2020,2016.0,Food & Agriculture
Fleetx,Tech Startup,Early Stage,3000000.0,Gurugram,2020,2017.0,Technology
ReNEWate,Real Estate,Early Stage,111909478.7413793,Pune,2020,2018.0,Real Estate $ Property
Tango Eye,SaaS startup,Early Stage,111909478.7413793,Chennai,2020,2018.0,Other
Rare Planet,Reatil startup,Early Stage,111909478.7413793,Kolkata,2020,2015.0,Other
Avataa Me,AR platform,Series A to Series H,7000000.0,Bangalore,2020,2014.0,Other
Arrival,EV startup,unknown,118000000.0,London,2020,2015.0,Other
Cover Genius,FinTech,unknown,15000000.0,Sydney,2020,2014.0,Technology
Phononic Vibes,Deeptech,unknown,2300000.0,Milano,2020,2018.0,Technology
MikeLegal,LegalTech,Early Stage,111909478.7413793,Gurugram,2020,2017.0,Technology
Clair,FinTech,Early Stage,4500000.0,New York,2020,2019.0,Technology
Gourmet Garden,Consumer Goods,unknown,111909478.7413793,Palmwoods,2020,1999.0,Other
Miko,AI startup,Early Stage,3000000.0,Mumbai,2020,2015.0,Other
Razorpay,FinTech,Series A to Series H,100000000.0,Bangalore,2020,2014.0,Technology
Ninjacart,Food Industry,unknown,30000000.0,Bangalore,2020,2015.0,Food & Agriculture
Wow! Momo,Food Industry,Later Stage,5000000.0,Kolkata,2020,2008.0,Food & Agriculture
Pepper Content,Content marketplace,Series A to Series H,4200000.0,Mumbai,2020,2017.0,E-Commerce & Marketplace
LIVSPACE,Interior Design,Later Stage,4000000.0,Bangalore,2020,2014.0,Other
Acculi Labs,Healthcare,Early Stage,600000.0,Bangalore,2020,2017.0,Healthcare
Your MD,Healthcare,unknown,25000000.0,London,2020,2012.0,Healthcare
Antaios,Tech company,unknown,11000000.0,France,2020,2016.0,Technology
Unnati,AgriTech,Early Stage,1700000.0,Noida,2020,2017.0,Technology
Disprz,Edtech,Early Stage,1600000.0,Chennai,2020,2015.0,Technology
Uni,FinTech,Early Stage,18500000.0,Mumbai,2020,unknown,Technology
Credit Wise Capital,FinTech,Early Stage,6000000.0,Mumbai,2020,1994.0,Technology
Chargebee,SaaS startup,Series A to Series H,55000000.0,San Francisco Bay Area,2020,2011.0,Other
Reliance Retail Ventures Ltd,Retail,unknown,70000000000.0,Mumbai,2020,2006.0,Other
Winuall,Edtech,unknown,2000000.0,Bangalore,2020,2019.0,Technology
Genrobotics,AI startup,unknown,300000.0,Trivandrum,2020,2015.0,Other
Livve,Rental space,Early Stage,1500000.0,Cochin,2020,2015.0,Other
Ergos,AgriTech,Series A to Series H,5000000.0,Samastipur,2020,2012.0,Technology
Krishitantra,Soil-Tech,Early Stage,1000000.0,Hyderabad,2020,2017.0,Technology
PakkaProfile,Recruitment startup,Early Stage,111909478.7413793,Bangalore,2020,2019.0,Other
Monet Networks,AI startup,Later Stage,500000.0,Irvine,2020,2014.0,Other
Unocoin,FinTech,Series A to Series H,111909478.7413793,Tumkur,2020,2013.0,Technology
Pesto,Edtech,unknown,111909478.7413793,New Delhi,2020,2017.0,Technology
NirogStreet,Ayurveda tech,Early Stage,2000000.0,Gurugram,2020,2016.0,Technology
Bambrew,Packaging solution startup,Early Stage,111909478.7413793,Bangalore,2020,2018.0,Other
Omnify,SaaS startup,Early Stage,111909478.7413793,San Francisco Bay Area,2020,2016.0,Other
Fanball XI,Gaming,Early Stage,1000000.0,New Delhi,2020,unknown,Other
Treebo Hotels,Hospitality,unknown,6000000.0,Bangalore,2020,2015.0,Other
GPS Renewables,Cleantech,Series A to Series H,3000000.0,Bangalore,2020,2010.0,Technology
Public,Social Media,unknown,30000000.0,New Delhi,2020,2019.0,Other
Legal Salah,LegalTech,Early Stage,1000000.0,Kolkata,2020,2015.0,Technology
FanPlay,Gaming,Early Stage,111909478.7413793,New Delhi,2020,2018.0,Other
ECOSTP,Sanitation solutions,unknown,19000000.0,Bangalore,2020,2017.0,Other
Coralogix,SaaS startup,Series A to Series H,25000000.0,San Francisco,2020,2013.0,Other
Equiwatt,Tech company,unknown,300000.0,Newcastle Upon Tyne,2020,2015.0,Technology
Reliance Retail Ventures,E-commerce,unknown,800000000.0,Mumbai,2020,2006.0,E-Commerce & Marketplace
Zhangmen,Edtech,unknown,400000000.0,Shanghai,2020,2005.0,Technology
AgroWave,AgriTech,unknown,500000.0,Gurugram,2020,2017.0,Technology
Sapio Analytics,Tech company,unknown,150000.0,Mumbai,2020,2018.0,Technology
Taimei,HealthCare,unknown,176000000.0,Jiaxing,2020,2013.0,Healthcare
Avanse Financial Services,FinTech,unknown,15000000.0,Mumbai,2020,2012.0,Technology
Industry Buying,E-commerce,unknown,15000000.0,New Delhi,2020,2013.0,E-Commerce & Marketplace
Hopscotch,E-commerce,unknown,25000000.0,Mumbai,2020,2011.0,E-Commerce & Marketplace
Pristyn Care,HealthCare,unknown,11000000.0,Gurugram,2020,2018.0,Healthcare
WoodenStreet,Home Design,unknown,1000000.0,Rajastan,2020,2015.0,Other
ACKO,InsureTech,unknown,60000000.0,Mumbai,2020,2016.0,Technology
Farmers Fresh Zone,AgriTech,unknown,470000.0,Kochi,2020,2015.0,Technology
Invento,AI Startup,unknown,111909478.7413793,Bangalore,2020,2016.0,Other
Infurnia,Tech Startup,unknown,240000.0,Bangalore,2020,2014.0,Technology
AnalytIQSports's SuperCric,Entertainment,unknown,111909478.7413793,Bangalore,2020,2019.0,Other
Snowflake,Tech company,unknown,3000000000.0,California,2020,2012.0,Technology
GenieTalk,Tech company,unknown,750000.0,Indore,2020,2016.0,Technology
Classplus,EdTech,unknown,10000000.0,Noida,2020,2018.0,Technology
Mobile Premier League,Entertainment,unknown,74000000.0,Bangalore,2020,2018.0,Other
Fourth Partner Energy,Solar solution,unknown,16000000.0,Hyderabad,2020,2010.0,Other
Flipkart,E-commerce,unknown,62000000.0,Bangalore,2020,2007.0,E-Commerce & Marketplace
Vivriti Capital,FinTech,unknown,1000000.0,Chennai,2020,2017.0,Technology
InsuranceDekho,FinTech,unknown,20000000.0,Ludhiana,2020,2017.0,Technology
BestDoc,HealthCare,unknown,2100000.0,Kochi,2020,2016.0,Healthcare
Byju’s,EdTech,unknown,500000000.0,Bangalore,2020,2011.0,Technology
Melorra,Jewellery startup,unknown,12500000.0,Bangalore,2020,2015.0,Healthcare
Reliance,Multinational conglomerate company,unknown,2200000000.0,Mumbai,2020,1973.0,Other
Inflexor Ventures,FinTech,unknown,10000000.0,Mumbai,2020,2020.0,Technology
Pandorum,Deeptech startup,unknown,5060000.0,Bangalore,2020,2011.0,Technology
SpeakIn,Social Network,unknown,111909478.7413793,Noida,2020,2018.0,Other
LetsUp,Publication,unknown,111909478.7413793,Mumbai,2020,2015.0,Other
Newsreach,Publication,unknown,111909478.7413793,Gujarat,2020,2018.0,Other
Dream11,Entertainment,unknown,225000000.0,Mumbai,2020,2008.0,Other
SignalX,SaaS platform,unknown,750000.0,Hyderabad,2020,2018.0,Other
JetSynthesys,Tech,unknown,40000000.0,Mumbai,2020,2012.0,Technology
Vesta Space Technology,Tech Startup,unknown,10000000.0,Pune,2020,2018.0,Technology
Dozee,HealthTech,unknown,1600000.0,Bangalore,2020,2015.0,Technology
Rebel Foods,Food,unknown,50000000.0,Pune,2020,2011.0,Food & Agriculture
Nykaa,Fashion,unknown,24700000.0,Mumbai,2020,2012.0,Other
Ketto,Finance,unknown,7700000.0,Mumbai,2020,2012.0,Finance $ Banking
Suryoday,Finance,unknown,800000.0,Mumbai,2020,2008.0,Finance $ Banking
SucSEED,Finance,unknown,1300000.0,Hyderabad,2020,2016.0,Finance $ Banking
Unacademy,EdTech,unknown,150000000.0,Bangalore,2020,2015.0,Technology
Strata,Real Estate,unknown,19067328.0,Bangalore,2020,2019.0,Real Estate $ Property
3one4 Capital,Venture capital,unknown,100000000.0,Bangalore,2020,2016.0,Other
WE-Hub,Entreprenurship,unknown,111909478.7413793,Hyderabad,2020,2018.0,Other
Zomato,Food devlivery,unknown,62000000.0,Haryana,2020,2008.0,Food & Agriculture
Vicara,Tech Startup,unknown,111909478.7413793,Bangalore,2020,2017.0,Technology
Gaana,Entertainment,unknown,51000000.0,Gurugram,2020,2010.0,Other
EM3 Agri,AgriTech,unknown,1000000.0,Noida,2020,2013.0,Technology
Plum,Cosmetics,unknown,115000.0,Thane,2020,2013.0,Other
Odwen,Warehouse,unknown,54000.0,Noida,2020,2018.0,Other
Fasal,AgriTech,unknown,20000.0,Bangalore,2020,2018.0,Technology
Trukky,Logistics,unknown,111909478.7413793,Ahmedabad,2020,2015.0,Autommotive $ Transportation
BankBazaar,Online financial service,unknown,9000000.0,Chennai,2020,2008.0,Other
Specsmakers,Eyeglasses,unknown,3000000.0,Chennai,2020,2011.0,Other
Grinntech,Battery design,unknown,2000000.0,Dehradun,2020,2013.0,Other
CreditMantri,Online credit management startup,unknown,803146.0,Chennai,2020,2012.0,Finance $ Banking
Chai Waale,Beverage,unknown,238000.0,Chennai,2020,2018.0,Food & Agriculture
Deepsync,Tech Startup,unknown,300000.0,Bangalore,2020,2018.0,Technology
ConnectedH,HealthCare,unknown,111909478.7413793,Gurgaon,2020,2016.0,Healthcare
Reliance Retail,E-commerce,unknown,10220000.0,Mumbai,2020,2006.0,E-Commerce & Marketplace
QShala,EdTech,unknown,300000.0,Bangalore,2020,2014.0,Technology
Pitstop,Car Service,unknown,1020000.0,Bangalore,2020,2015.0,Other
